ISIN,event_date,raw_return,abnormal_return,market_return,broad_shock,definition
100974271034,2019-09-27,-0.0527670527670526,-0.0537131191756256,0.0,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
100974271034,2020-03-23,-0.1447236180904523,-0.1050921471632203,-0.0217391304347825,True,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
100974271034,2020-09-21,-0.0817843866171003,-0.0638350895608359,-0.0094117647058823,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
100974271034,2020-11-30,-0.0582010582010581,-0.0623442361991898,0.0,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
100974271034,2022-05-03,-0.0780841799709725,-0.0448691133278934,-0.0195580391160781,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
BE0974303357,2020-03-23,-0.1141304347826087,-0.0826026045546908,-0.0217391304347825,True,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
BE0974303357,2020-11-12,-0.0598870056497176,-0.0636269270034232,0.0,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
BE0974303357,2022-03-02,-0.0533333333333333,-0.0491207433829273,-0.0053908355795148,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
BE0974303357,2022-04-26,-0.0552325581395348,-0.0538705575774717,-0.0023419203747073,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
BE0974303357,2022-06-30,-0.0516605166051661,-0.0549730178133971,0.0,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
CH0198251305,2020-02-28,-0.0737116764514025,-0.0456676852800984,-0.0409561084707856,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
CH0198251305,2022-02-28,-0.0801720766523269,-0.0523399544035541,-0.0315789473684209,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
GRK014011008,2020-03-17,-0.1096153846153846,-0.1294777590887029,0.0166666666666666,True,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
GRK014011008,2020-05-18,-0.085820895522388,-0.0888538812685719,0.0056338028169014,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
GRK014011008,2020-06-15,-0.096078431372549,-0.0968108378497017,0.0,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
GRK014011008,2021-02-03,-0.123076923076923,-0.1241836375802778,0.0,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
GRK014011008,2021-04-15,-0.1239669421487603,-0.1251531586296536,0.0,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
GRK014011008,2022-03-07,-0.070539419087137,-0.0877295259775792,0.022,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
GRK014011008,2022-06-20,-0.074074074074074,-0.0748396378650035,0.0,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
GRK014011008,2022-11-28,-0.0775862068965517,-0.0755491233067375,-0.0066225165562914,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
GRS001003037,2020-10-26,-0.1148387096774194,-0.0901062790030225,-0.0118343195266272,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
GRS001003037,2021-04-29,-0.2989510489510489,-0.2999154114456929,0.0,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
GRS001003037,2021-08-26,-0.0968152866242036,-0.0981456438731519,0.0,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
GRS001003037,2021-09-30,-0.2686170212765957,-0.2683951657245066,0.0,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
GRS001003037,2021-11-22,-0.549367088607595,-0.532809655245836,-0.0071942446043165,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
GRS001003037,2021-12-27,-0.3436166721365278,-0.3344735932231206,0.0,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
GRS003003035,2020-03-18,-0.1138,-0.1166270178628249,0.0,True,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
GRS003003035,2020-04-21,-0.1313848675225347,-0.1337089718354355,0.0,True,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
GRS003003035,2022-07-14,-0.0506756756756756,-0.0547247820202294,0.0,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
GRS004013009,2022-02-24,-0.060475161987041,-0.0239116199655679,-0.0683544303797468,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
GRS014003032,2020-04-21,-0.1419816138917261,-0.1454508420121395,0.0,True,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
GRS014003032,2020-10-26,-0.2426160337552743,-0.2157265236913068,-0.0118343195266272,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
GRS014003032,2021-03-18,-0.2204545454545453,-0.2193349791204412,0.0,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
GRS014003032,2021-04-20,-0.5096153846153846,-0.5070259495034025,0.0,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
GRS014003032,2022-05-19,-0.0781512605042016,-0.0541721340054816,-0.0133729569093611,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
GRS014003032,2022-07-05,-0.1088888888888888,-0.0726250083591123,-0.0191789215686274,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
GRS015003007,2020-03-17,-0.126,-0.1632503561972599,0.0166666666666666,True,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
GRS015003007,2020-04-21,-0.1426938464469422,-0.1434183483222838,0.0,True,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
GRS015003007,2021-05-21,-0.2720967741935484,-0.2478882760502728,-0.0065040650406503,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
GRS015003007,2022-07-05,-0.0934787999008183,-0.0559031583048454,-0.0191789215686274,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
GRS015003007,2022-08-05,-0.0573330470259824,-0.0486794569341658,-0.0048661800486619,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
GRS045003001,2020-07-15,-0.1958762886597937,-0.1982531684515444,0.0,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
GRS045003001,2021-03-25,-0.1561904761904765,-0.1568691710643133,-0.0045226130653264,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
GRS045003001,2022-04-04,-0.1735537190082644,-0.1751144209360562,0.0,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
GRS045003001,2022-05-23,-0.1842105263157895,-0.1852148839945689,0.0,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
GRS045003001,2022-11-21,-0.1727272727272727,-0.1708522593432614,0.0,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
GRS047063003,2019-08-19,-0.0571428571428571,-0.1229487829974382,0.027907580477674,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
GRS047063003,2019-10-10,-0.0999999999999999,-0.1055155957655668,0.0,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
GRS047063003,2020-01-03,-0.1923076923076923,-0.1936176259967966,-0.0073672806067172,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
GRS047063003,2020-03-02,-0.0509090909090909,-0.165973886866734,0.0613983165897366,False,raw_return<=-5% and abnormal_return<=rolling_1pct; 20d cooldown
